[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||source=/Users/tao/moduleGo/gin_scaffold/dao/service_info.go:68||sql=SELECT * FROM `gateway_service_info`  WHERE (is_delete=0) ORDER BY id desc LIMIT 999999 OFFSET 0||spanid=9fa03e45380704bb||level=sql||current_time=2020-07-10 23:01:46||proc_time=0.000843s||affected_row=12||traceid=c0a8bc9f5f0882da16600e15104dc7b0||cspanid=
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||current_time=2020-07-10 23:01:46||spanid=9fa03e45380704bb||level=sql||source=/Users/tao/moduleGo/gin_scaffold/dao/service_info.go:72||proc_time=0.000585s||sql=SELECT * FROM `gateway_service_info`  WHERE (is_delete=0) LIMIT 999999 OFFSET 0||affected_row=12||traceid=c0a8bc9f5f0882da16600e15104dc7b0||cspanid=
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||current_time=2020-07-10 23:01:46||sql=SELECT count(*) FROM `gateway_service_info`  WHERE (is_delete=0) LIMIT 999999 OFFSET 0||affected_row=0||traceid=c0a8bc9f5f0882da16600e15104dc7b0||level=sql||source=/Users/tao/moduleGo/gin_scaffold/dao/service_info.go:72||spanid=9fa03e45380704bb||proc_time=0.000298s||cspanid=
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||level=sql||proc_time=0.000667s||sql=SELECT * FROM `gateway_service_http_rule`  WHERE (`gateway_service_http_rule`.`service_id` = '50')||cspanid=||source=/Users/tao/moduleGo/gin_scaffold/dao/service_http_rule.go:27||current_time=2020-07-10 23:01:46||affected_row=0||traceid=c0a8bc9f5f0882da85400e15f27cc6b0||spanid=9fa03e4568255aaf
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||level=sql||proc_time=0.000516s||sql=SELECT * FROM `gateway_service_tcp_rule`  WHERE (`gateway_service_tcp_rule`.`service_id` = '50')||spanid=9fa03e453c04951a||source=/Users/tao/moduleGo/gin_scaffold/dao/service_tcp_rule.go:21||current_time=2020-07-10 23:01:46||affected_row=1||traceid=c0a8bc9f5f0882da12480e15b62158b0||cspanid=
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||affected_row=0||cspanid=||current_time=2020-07-10 23:01:46||proc_time=0.000553s||sql=SELECT * FROM `gateway_service_grpc_rule`  WHERE (`gateway_service_grpc_rule`.`service_id` = '50')||traceid=c0a8bc9f5f0882da88280e15ec3f25b0||spanid=9fa03e451bf98be2||level=sql||source=/Users/tao/moduleGo/gin_scaffold/dao/service_grpc_rule.go:23
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||source=/Users/tao/moduleGo/gin_scaffold/dao/service_access_control.go:27||level=sql||current_time=2020-07-10 23:01:46||proc_time=0.000648s||sql=SELECT * FROM `gateway_service_access_control`  WHERE (`gateway_service_access_control`.`service_id` = '50')||affected_row=1||traceid=c0a8bc9f5f0882da11900e150bd268b0||cspanid=||spanid=9fa03e456e661e92
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||level=sql||traceid=c0a8bc9f5f0882daa2800e1554502fb0||cspanid=||source=/Users/tao/moduleGo/gin_scaffold/dao/service_load_balance.go:33||current_time=2020-07-10 23:01:46||proc_time=0.000648s||sql=SELECT * FROM `gateway_service_load_balance`  WHERE (`gateway_service_load_balance`.`service_id` = '50')||affected_row=1||spanid=9fa03e451a714cf8
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||cspanid=||level=sql||source=/Users/tao/moduleGo/gin_scaffold/dao/service_http_rule.go:27||current_time=2020-07-10 23:01:46||proc_time=0.000446s||affected_row=0||sql=SELECT * FROM `gateway_service_http_rule`  WHERE (`gateway_service_http_rule`.`service_id` = '51')||traceid=c0a8bc9f5f0882dacde00e150c8b35b0||spanid=9fa03e45039f6f78
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||current_time=2020-07-10 23:01:46||affected_row=1||traceid=c0a8bc9f5f0882da7c880e15d4b7a5b0||level=sql||source=/Users/tao/moduleGo/gin_scaffold/dao/service_tcp_rule.go:21||proc_time=0.000631s||sql=SELECT * FROM `gateway_service_tcp_rule`  WHERE (`gateway_service_tcp_rule`.`service_id` = '51')||cspanid=||spanid=9fa03e450a2b894c
[INFO][2020-07-10T23:01:46.904][log.go:58] _com_mysql_success||source=/Users/tao/moduleGo/gin_scaffold/dao/service_grpc_rule.go:23||current_time=2020-07-10 23:01:46||affected_row=0||traceid=c0a8bc9f5f0882da28d00e159442fdb0||cspanid=||level=sql||proc_time=0.000745s||sql=SELECT * FROM `gateway_service_grpc_rule`  WHERE (`gateway_service_grpc_rule`.`service_id` = '51')||spanid=9fa03e4526984b92
